title,link,salary,company,area,update_time,exp_title
初中英语教师(青年教师),/jobs_view_633063.html,6-7K/月,福州市书生实验学校,福州-福清市,04-22,本科/1年以上
初中英语教师（骨干）,/jobs_view_574327.html,15-30W/年,  南昌启华双语学校,南昌-红谷滩区,04-22,本科/3年以上
初中英语教师(6年以上经验）,/jobs_view_703500.html,15-20W/年,云南西双版纳八壹高级中学,西双版纳-景洪市,04-22,本科/6年以上
初中英语应届优秀毕业生,/jobs_view_685702.html,12-18W/年,义乌市新义中学（浙江义乌外国语学校（筹））,金华-义乌市,04-22,本科/应届生
初中英语学科带头人,/jobs_view_760155.html,18-24W/年,徐州普学汇志学校,徐州-铜山区,04-22,本科/6年以上
初中英语教师(合格教师),/jobs_view_237247.html,6-8K/月,潮州市饶平双语实验学校,潮州-饶平县,04-22,本科/1年以上
初中英语教师1名(合格教师),/jobs_view_410867.html,7-9K/月,东莞市南城星河学校,广东-东莞,04-22,本科/2年以上
初中英语教师(骨干教师),/jobs_view_320498.html,15-20W/年,广州市花都区花执灵格风学校,广州-花都区,04-21,本科/3年以上
初中英语教师,/jobs_view_721196.html,12-15W/年,北海市海城区民附学校,北海-海城区,04-18,本科/经验不限
初中英语教师(骨干教师),/jobs_view_245035.html,10-15W/年,温州市越秀学校,浙江-温州,04-22,本科/3年以上
初中英语教师(应届生),/jobs_view_163330.html,9-18W/年,广西希望高中,南宁-武鸣区,04-22,本科/应届生
初中英语教师(骨干教师),/jobs_view_749087.html,10-20W/年,广东省普宁市勤建学校,揭阳-普宁市,04-22,本科/1年以上
初中英语教师(优秀教师),/jobs_view_568764.html,22-25W/年,云南省祥云县祥华中学,大理-祥云县,04-22,本科/3年以上
初中英语教师(应届生),/jobs_view_734017.html,10-20K/月,云南省祥云县祥华中学,大理-祥云县,04-22,本科/1年以上
年薪25万诚聘初中英语骨干教师(骨干教师),/jobs_view_681734.html,25-26W/年,云南省祥云县祥华中学,大理-祥云县,04-22,本科/1年以上
25万高薪诚聘初中英语骨干教师,/jobs_view_681691.html,25W/年,云南省祥云县祥华中学,大理-祥云县,04-22,本科/1年以上
初中英语教师(骨干教师),/jobs_view_646233.html,6-7K/月,宜城市志达实验寄宿学校,襄阳-宜城市,04-22,本科/3年以上
初中英语教师(骨干教师),/jobs_view_563128.html,26W/年,云南省祥云县祥华中学,大理-祥云县,04-22,本科/3年以上
初中英语教师(合格教师),/jobs_view_50701.html,10-14K/月,普宁新世界中英文学校,揭阳-普宁市,04-22,本科/应届生
初中英语教师(专家级名师),/jobs_view_757096.html,25-35W/年,浙江诸暨荣怀学校,绍兴-诸暨市,04-22,本科/10年以上
初中英语教师(应届生),/jobs_view_757093.html,9-11W/年,浙江诸暨荣怀学校,绍兴-诸暨市,04-22,本科/应届生
初中英语教师(学科带头人),/jobs_view_757095.html,20-25W/年,浙江诸暨荣怀学校,绍兴-诸暨市,04-22,本科/8年以上
初中英语教师(骨干教师),/jobs_view_757094.html,15-20W/年,浙江诸暨荣怀学校,绍兴-诸暨市,04-22,本科/5年以上
初中英语教师,/jobs_view_623296.html,20-30W/年,浙江省苍南县树人学校,温州-苍南县,04-22,本科/3年以上
初中英语教师(优秀在职),/jobs_view_695139.html,12.5-25W/年,四川省广元外国语学校,广元-利州区,04-22,本科/3年以上
初中英语老师(青年教师),/jobs_view_365039.html,5-10K/月,湖北省十堰外国语学校,十堰-茅箭区,04-22,本科/经验不限
初中英语教师,/jobs_view_162101.html,15-30W/年,广州市黄广中学,广州-花都区,04-22,本科/3年以上
初中英语教师(青年教师),/jobs_view_756818.html,10-15K/月,毕节弘文中学,毕节-七星关区,04-22,本科/3年以上
初中英语教师(应届生),/jobs_view_756801.html,6-8K/月,毕节弘文中学,毕节-七星关区,04-22,本科/应届生
初中英语教师(成熟教师),/jobs_view_674781.html,15-25W/年,四川省宜宾市翠屏区棠湖学校,宜宾-翠屏区,04-22,本科/3年以上
初中英语教师(青年教师),/jobs_view_674787.html,15-25W/年,四川省宜宾市翠屏区棠湖学校,宜宾-翠屏区,04-22,本科/应届生
国际学校ELC（英语教师）,/jobs_view_730393.html,10-20W/年,宁波华茂教育集团,宁波-鄞州区,04-22,本科/2年以上
初中英语教师(应届生),/jobs_view_673890.html,11-16W/年,浙江台州东方理想学校,台州-路桥区,04-22,本科/应届生
初中英语教师(青年教师),/jobs_view_673923.html,13-22W/年,浙江台州东方理想学校,台州-路桥区,04-22,本科/4年以上
初中英语教师(骨干教师),/jobs_view_673944.html,20-30W/年,浙江台州东方理想学校,台州-路桥区,04-22,本科/6年以上
初中英语教师(骨干教师),/jobs_view_328830.html,20-28W/年,广州市庆丰实验学校,广州-白云区,04-22,本科/2年以上
初中英语教师(青年教师),/jobs_view_757349.html,10-20W/年,连江启明学校,福州-连江县,04-22,本科/3年以上
初中英语教师(在职教师),/jobs_view_744593.html,20-30W/年,广东省廉江市实验学校,湛江-廉江市,04-22,本科/3年以上
初中英语教师(应届生),/jobs_view_744618.html,14-18W/年,广东省廉江市实验学校,湛江-廉江市,04-22,本科/应届生
初中英语教师(合格教师),/jobs_view_232268.html,9-14W/年,大悟天有实验学校,孝感-大悟县,04-22,本科/3年以上
初中英语教师(应届生、在职教师都欢迎)（年薪10-60万）,/jobs_view_707403.html,10-20W/年,大悟天有实验学校,孝感-大悟县,04-22,本科/1年以上
初中英语教师(骨干教师),/jobs_view_277482.html,10-18W/年,六盘水市培文学校,六盘水-钟山区,04-22,本科/3年以上
初中英语教师,/jobs_view_622911.html,10-20K/月,深圳市耀华实验学校,深圳-福田区,04-22,本科/1年以上
初中英语教师,/jobs_view_699213.html,10-20K/月,济南市天山实验高级中学,济南-济阳区,04-22,硕士/1年以上
初中英语教师(骨干教师),/jobs_view_740706.html,15-20W/年,济南市天山实验高级中学,济南-济阳区,04-22,本科/5年以上
名师优师初中英语教师,/jobs_view_369187.html,10-20W/年,义乌复旦实验学校,金华-义乌市,04-22,本科/2年以上
初中英语教师(青年教师),/jobs_view_588813.html,9-11W/年,东莞市凤岗宏盈实验学校,广东-东莞,04-22,本科/2年以上
初中英语教师(骨干教师),/jobs_view_588818.html,12W/年,东莞市凤岗宏盈实验学校,广东-东莞,04-22,本科/3年以上
初中英语教师,/jobs_view_298322.html,6-15K/月,乐清市外国语学校,温州-乐清市,04-22,本科/3年以上
初中英语教师(骨干教师),/jobs_view_692331.html,15-20W/年,乐清市外国语学校,温州-乐清市,04-22,本科/5年以上
初中英语(骨干教师),/jobs_view_694198.html,13-18W/年,乐清市外国语学校,温州-乐清市,04-22,本科/10年以上
23年秋季学期 初中英语教师,/jobs_view_767509.html,8-14K/月,东莞市东城启元学校,广东-东莞,04-22,本科/3年以上
初中英语教师 秋季入职,/jobs_view_769617.html,8-14K/月,东莞市东城启元学校,广东-东莞,04-22,本科/3年以上
2023年秋季初中英语教师,/jobs_view_769616.html,8-14K/月,东莞市东城启元学校,广东-东莞,04-22,本科/3年以上
初中英语教师编制(青年教师)编制,/jobs_view_767087.html,0.8K/月,北京师范大学南川实验学校,重庆-南川区,04-22,本科/1年以上
