title,link,salary,company,area,update_time,exp_title
高中英语教师(骨干教师),/jobs_view_563132.html,30W/年,云南省祥云县祥华中学,大理-祥云县,04-22,本科/3年以上
初中英语教师(青年教师),/jobs_view_633063.html,6-7K/月,福州市书生实验学校,福州-福清市,04-22,本科/1年以上
初中英语教师（骨干）,/jobs_view_574327.html,15-30W/年,  南昌启华双语学校,南昌-红谷滩区,04-22,本科/3年以上
初中英语教师(6年以上经验）,/jobs_view_703500.html,15-20W/年,云南西双版纳八壹高级中学,西双版纳-景洪市,04-22,本科/6年以上
高中英语应届优秀毕业生,/jobs_view_685693.html,12-18W/年,义乌市新义中学（浙江义乌外国语学校（筹））,金华-义乌市,04-22,本科/应届生
初中英语应届优秀毕业生,/jobs_view_685702.html,12-18W/年,义乌市新义中学（浙江义乌外国语学校（筹））,金华-义乌市,04-22,本科/应届生
初中英语学科带头人,/jobs_view_760155.html,18-24W/年,徐州普学汇志学校,徐州-铜山区,04-22,本科/6年以上
高中英语教师(骨干教师),/jobs_view_619238.html,12-20K/月,合肥及第教育科技有限公司经开分公司,合肥-经济技术开发区,04-22,本科/10年以上
小学英语教师(月薪5-15k),/jobs_view_770018.html,5-10K/月,陕西睿智通文化科技有限公司,西安-未央区,04-22,本科/经验不限
高中英语骨干教师（下载报名表填写回传有效）(骨干教师),/jobs_view_556597.html,20-26W/年,肇庆博纳实验学校,肇庆-高要区,04-22,本科/10年以上
高中英语教师(骨干教师),/jobs_view_670496.html,18-25W/年,共青城博雅学校,九江-共青城市,04-22,本科/5年以上
小学英语教师(青年教师),/jobs_view_696465.html,5-7K/月,阳江市江城区麻演龙源学校 ,阳江-江城区,04-22,大专/应届生
初中英语教师(合格教师),/jobs_view_237247.html,6-8K/月,潮州市饶平双语实验学校,潮州-饶平县,04-22,本科/1年以上
高中英语教师(青年教师),/jobs_view_673595.html,12-18W/年,浦城荣华实验高中,南平-浦城县,04-22,本科/3年以上
初中英语教师1名(合格教师),/jobs_view_410867.html,7-9K/月,东莞市南城星河学校,广东-东莞,04-22,本科/2年以上
高中英语教师(青年教师),/jobs_view_696944.html,12-22W/年,厦门康桥中学,厦门-思明区,04-22,本科/1年以上
高中英语教师,/jobs_view_582006.html,20-40W/年,衢州市乐成寄宿中学,衢州-衢江区,04-21,本科/3年以上
初中英语教师(骨干教师),/jobs_view_320498.html,15-20W/年,广州市花都区花执灵格风学校,广州-花都区,04-21,本科/3年以上
高中英语教师,/jobs_view_727546.html,20-30W/年,弥渡实验中学,大理-弥渡县,04-18,本科/5年以上
初中英语教师,/jobs_view_721196.html,12-15W/年,北海市海城区民附学校,北海-海城区,04-18,本科/经验不限
高中英语教师(骨干教师),/jobs_view_748985.html,8-15W/年,湖北黄冈市红安国际育才实验学校,黄冈-红安县,04-18,本科/3年以上
高中英语教师(骨干教师),/jobs_view_651051.html,15-30W/年,温州市越秀学校,温州-龙湾区,04-22,本科/1年以上
初中英语教师(骨干教师),/jobs_view_245035.html,10-15W/年,温州市越秀学校,浙江-温州,04-22,本科/3年以上
初中英语教师(应届生),/jobs_view_163330.html,9-18W/年,广西希望高中,南宁-武鸣区,04-22,本科/应届生
