title,link,salary,company,area,update_time,exp_title
幼儿园英语专职教师,/jobs_view_567237.html,4-6K/月,广东光正教育集团有限公司,广东-东莞,04-22,大专/1年以上
幼儿园英语教师(青年教师),/jobs_view_634656.html,4.1-5.5K/月,佛山市惟德外国语实验学校,佛山-高明区,04-22,大专/应届生
句容碧桂园幼儿园英语教师(青年教师),/jobs_view_528404.html,8-14W/年,句容碧桂园学校,镇江-句容市,04-22,本科/1年以上
幼儿英语教师(青年教师),/jobs_view_766973.html,2-4W/年,大宋职业高级中学,晋中-太谷区,04-22,本科/3年以上
幼儿英语教师(青年教师),/jobs_view_501612.html,3.5-6K/月,湖北省十堰外国语学校,十堰-茅箭区,04-22,大专/经验不限
幼儿英语助教,/jobs_view_646456.html,6-8K/月,深圳市耀华实验学校,深圳-福田区,04-22,本科/1年以上
幼小衔接英语教师(合格教师),/jobs_view_574611.html,4-6K/月,太原尊成公学,太原-小店区,04-22,本科/1年以上
幼儿英语教师(青年教师),/jobs_view_694979.html,4-8K/月,阜阳市颍州区东联和信中学,阜阳-颍州区,04-22,本科/1年以上
幼儿英语教师,/jobs_view_599498.html,0.8K/月,宁海县未来学校,宁波-宁海县,04-22,本科/2年以上
幼儿/托育教师(青年教师),/jobs_view_746134.html,5-7K/月,广州市华美英语实验学校,广州-天河区,04-22,本科/1年以上
幼儿英语教师,/jobs_view_685009.html,6-10W/年,湖北省方子教育管理投资有限公司,孝感-孝南区,04-22,大专/1年以上
幼儿英语教师,/jobs_view_705828.html,7-10K/月,北外壹佳,保定-竞秀区,04-21,本科/应届生
诚聘幼儿英语教师,/jobs_view_707738.html,7-10K/月,北外壹佳,保定-竞秀区,04-21,本科/应届生
幼儿英语教师,/jobs_view_744376.html,6-8K/月,杭州市萧山区高瞻幼儿园,杭州-萧山区,04-21,大专/1年以上
幼儿园副班老师（英语优先）(青年教师),/jobs_view_659803.html,5-7K/月,广州理工实验学校,广州-增城区,04-21,大专/1年以上
苏国外启迪幼教集团盐城启迪澜庭幼儿园英语教师,/jobs_view_471909.html,3.5-5K/月,苏州国裕外语学校,江苏-苏州,04-21,本科/1年以上
幼儿园英语教师(青年教师),/jobs_view_150814.html,5-10K/月,苏州国裕外语学校,苏州-相城区,04-21,大专/经验不限
幼儿英语教师(青年教师),/jobs_view_701514.html,4-5.5K/月,华威教育投资有限公司,福州-仓山区,04-21,本科/1年以上
幼儿英语老师,/jobs_view_574959.html,5-8K/月,广州市番禺区番外外国语学校,广州-番禺区,04-21,大专/1年以上
双语幼儿园配班老师（英语好),/jobs_view_738906.html,5-9K/月,成都万象蒙泰教育管理集团,成都-天府新区,04-21,大专/3年以上
幼儿英语教师(青年教师),/jobs_view_741804.html,5-6K/月,东莞市谢岗振华学校,广东-东莞,04-21,大专/3年以上
幼儿英语教师(青年教师),/jobs_view_734967.html,5-7K/月,南外仙林分校宿迁学校,宿迁-宿豫区,04-21,本科/2年以上
英语主班幼教-科学城,/jobs_view_708889.html,6-8K/月,中黄教育,广州-黄埔区,04-21,本科/2年以上
幼儿园英语助教(合格教师),/jobs_view_405086.html,3-3.5K/月,合肥高新中嘉学校,合肥-蜀山区,04-21,本科/应届生
幼儿英语助教,/jobs_view_726256.html,4-5K/月,长沙玮希外籍人员子女学校,长沙-长沙县,04-21,本科/3年以上
幼儿英语教师(青年教师),/jobs_view_685034.html,8-16W/年,成都市华爱学校,成都-郫都区,04-20,大专/1年以上
幼儿英语老师（IB园）,/jobs_view_711001.html,8-12K/月,广州市黄埔区华外同文外国语学校,广州-黄埔区,04-20,本科/3年以上
幼儿英语教师(青年教师),/jobs_view_710880.html,7-13K/月,深圳市崛起教育集团有限公司,深圳-宝安区,04-20,本科/1年以上
幼儿园英语老师(骨干教师),/jobs_view_127551.html,8-15W/年,广州英豪学校,广州-从化区,04-20,大专/1年以上
幼儿园英语教师,/jobs_view_665606.html,5-10K/月,上海师范大学附属郑州启佳学校,郑州-郑东新区,04-20,本科/2年以上
幼儿英语（外教),/jobs_view_761321.html,10-15K/月,江西昌黎文化教育投资集团有限公司,宜春-袁州区,04-20,本科/经验不限
幼儿教师(英语助教),/jobs_view_768565.html,10-20W/年,衢州市高铁新城外国语学校,衢州-柯城区,04-20,本科/2年以上
幼儿园英语老师,/jobs_view_752583.html,3.5-5.5K/月,武汉外国语学校美加分校,武汉-江夏区,04-20,大专/经验不限
幼儿英语教师和助教若干(骨干教师),/jobs_view_334484.html,7-12W/年,五邑碧桂园中英文学校,江门-蓬江区,04-19,大专/1年以上
